1,1,1,4.5,0,19.0,4,8,8,3,0,0,1,2,407,4.5,1,0,0,3.5,27,7,8
1,1,0,2.5,0,8.0,0,0,0,3,0,0,1,2,998,1,6,0,0,1.5,49,2,7
1,1,1,4.0,0,19.0,30,60,60,30,7,0,7,27,507,4.07,1,0,0,3.3,171,68,64
1,1,1,4.5,0,19.0,4,8,8,3,1,0,1,4,537,4.5,1,1,1,3.75,267,177,259
1,1,1,4.0,0,20.0,17,34,34,18,2,0,5,16,425,4.06,0,0,0,3.56,120,79,138
1,1,1,4.5,0,19.0,35,70,70,11,6,2,4,11,408,4.36,0,0,0,3.18,752,483,450
1,1,1,4.0,0,19.0,3,6,6,3,0,0,0,3,181,4,0,0,0,3.67,64,15,17
1,1,1,2.0,0,19.0,0,0,0,4,2,0,3,4,1151,1.75,2,1,1,2.5,292,130,79
0,1,1,1.5,0,15.0,0,0,0,9,2,0,0,8,1086,1.38,2,0,0,2.88,118,45,66
1,1,1,2.0,0,11.0,0,0,0,4,0,0,1,4,762,2,1,0,0,3.25,13,2,7
1,1,1,2.5,0,13.0,3,6,6,4,0,0,3,4,426,2.5,1,1,0,3,54,32,42
1,1,1,3.5,0,11.0,25,50,50,36,7,1,7,33,636,3.73,0,0,0,3.3,169,82,98
1,1,1,4.5,0,12.0,9,18,18,3,0,0,0,2,98,5,2,1,1,4,145,28,33
1,1,1,4.5,0,13.0,0,0,0,10,2,0,2,9,1199,4.67,1,0,0,3.44,93,39,38
1,1,1,3.5,0,12.0,32,64,64,35,3,1,9,35,513,3.43,1,0,0,3.2,64,24,26
1,1,1,4.0,0,13.0,6,12,12,8,0,0,4,9,355,3.67,0,0,0,3.44,108,28,95
1,1,1,4.0,0,12.0,0,0,0,8,0,0,4,8,323,3.75,1,0,0,3.62,43,8,10
0,1,1,4.0,0,6.0,0,0,0,5,1,0,0,5,904,4,1,0,0,3.4,94,34,54
1,1,1,4.0,0,6.0,0,0,0,8,0,0,3,6,926,3.67,1,0,0,3.33,29,12,11
0,1,1,3.0,0,6.0,15,30,30,19,3,0,1,18,661,3.06,0,0,0,3.22,445,159,121
1,1,1,2.5,0,8.0,0,0,0,7,2,0,1,7,862,2.71,1,0,0,2.86,67,24,23
